GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JWT-with-Spring-Security,com.spring.jwt.Attendance.model.embedded,Location,282,0,42,0,23,0,37,0,16,0
JWT-with-Spring-Security,com.spring.jwt.Attendance.model.embedded,Location.LocationBuilder,38,0,0,0,1,0,6,0,6,0
JWT-with-Spring-Security,com.spring.jwt.Attendance.controller,AttendanceController,426,0,8,0,78,0,21,0,17,0
JWT-with-Spring-Security,com.spring.jwt.Attendance.controller,AdminAttendanceController,160,0,4,0,29,0,11,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter,112,0,8,0,19,0,10,0,6,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,CustomAuthenticationProvider,153,0,16,0,38,0,16,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtRefreshTokenFilter,511,0,28,0,135,0,23,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SecurityHeadersFilter,56,0,2,0,18,0,6,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,RateLimitingFilter.RequestCounter,29,0,0,0,11,0,5,0,5,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter.SqlInjectionRequestWrapper.new Enumeration() {...},21,0,0,0,3,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtTokenAuthenticationFilter,795,0,96,0,193,0,68,0,20,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter,36,0,2,0,12,0,7,0,6,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtUsernamePasswordAuthenticationFilter,346,0,6,0,88,0,10,0,7,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,JwtRefreshTokenFilter.RefreshTokenAuthentication,35,0,0,0,14,0,9,0,9,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter.XssRequestWrapper,290,0,26,0,59,0,21,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,RateLimitingFilter,283,0,50,0,68,0,38,0,13,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,SqlInjectionFilter.SqlInjectionRequestWrapper,243,0,24,0,52,0,20,0,8,0
JWT-with-Spring-Security,com.spring.jwt.config.filter,XssFilter.XssRequestWrapper.new Enumeration() {...},21,0,0,0,3,0,3,0,3,0
JWT-with-Spring-Security,com.spring.jwt.entity,ProductBuyConfirmed,658,0,118,0,17,0,93,0,34,0
JWT-with-Spring-Security,com.spring.jwt.entity,PaymentCallbackQueue.PaymentCallbackQueueBuilder,147,0,0,0,1,0,18,0,18,0
JWT-with-Spring-Security,com.spring.jwt.entity,DeliveryTracking,755,0,134,0,19,0,105,0,38,0
JWT-with-Spring-Security,com.spring.jwt.entity,FarmerPayment.FarmerPaymentBuilder,177,0,0,0,1,0,21,0,21,0
JWT-with-Spring-Security,com.spring.jwt.entity,ProductBuyPending,562,0,102,0,15,0,81,0,30,0
JWT-with-Spring-Security,com.spring.jwt.entity,ProductImage,133,0,14,0,11,0,26,0,19,0
JWT-with-Spring-Security,com.spring.jwt.entity,DeliveryTrackingHistory,278,0,54,0,7,0,44,0,17,0
JWT-with-Spring-Security,com.spring.jwt.entity,EmpDocument,227,0,40,0,6,0,35,0,15,0
JWT-with-Spring-Security,com.spring.jwt.entity,EmployeeAttendance,362,0,70,0,10,0,56,0,21,0
JWT-with-Spring-Security,com.spring.jwt.entity,User,1050,0,182,0,36,0,143,0,52,0
JWT-with-Spring-Security,com.spring.jwt.entity,Document,462,0,80,0,14,0,67,0,27,0
JWT-with-Spring-Security,com.spring.jwt.entity,PaymentAuditLog.PaymentAuditLogBuilder,109,0,0,0,1,0,14,0,14,0
JWT-with-Spring-Security,com.spring.jwt.entity,PaymentAuditLog,523,0,96,0,18,0,78,0,30,0
JWT-with-Spring-Security,com.spring.jwt.entity,FarmerPayment,838,0,154,0,25,0,121,0,44,0
JWT-with-Spring-Security,com.spring.jwt.entity,Role,130,0,22,0,8,0,22,0,11,0
JWT-with-Spring-Security,com.spring.jwt.entity,ProductSection,127,0,14,0,10,0,21,0,14,0
JWT-with-Spring-Security,com.spring.jwt.entity,Employee,676,0,134,0,17,0,104,0,37,0
JWT-with-Spring-Security,com.spring.jwt.entity,FarmerSelfieEmployeeFarmerSurvey,241,0,46,0,6,0,38,0,15,0
JWT-with-Spring-Security,com.spring.jwt.entity,SecurityAuditLog,530,0,92,0,24,0,76,0,30,0
JWT-with-Spring-Security,com.spring.jwt.entity,Product.Category,27,0,0,0,2,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.entity,Product.ProductType,15,0,0,0,2,0,1,0,1,0
JWT-with-Spring-Security,com.spring.jwt.entity,BlacklistedToken,415,0,64,0,22,0,55,0,23,0
JWT-with-Spring-Security,com.spring.jwt.entity,OrderHistory,239,0,46,0,6,0,38,0,15,0
